,windowSize,participant,filtered,overallWorkloadState,samples,coefficient,significance,RMSE,actualMean,actualStDev,predMean,predStDev
23,1,3,True,all,274,0.7923053815063524,2.6199636854232676e-60,0.6240879996173385,0.7464720277509985,0.933484156623286,0.9186713695526123,0.9279005527496338
24,1,4,False,ol,1513,0.1621532746880643,2.2366963527065623e-10,1.6700354581444985,1.4990526762128034,1.000494771180551,0.22925280034542084,0.6116293668746948
25,1,4,False,nl,951,0.24749241424001794,9.711729258357112e-15,0.5725137029570426,0.2529968511230938,0.5059432623610733,0.07565697282552719,0.361909419298172
26,1,4,False,ul,549,0.19782411786070966,2.999705344458189e-06,0.19669683864187007,0.021857924162255828,0.1431420550625513,0.01589495688676834,0.16603510081768036
27,1,4,False,all,3013,0.24938492470583276,6.03214477789052e-44,1.2292400380884128,0.8365969813783977,1.017843564369618,0.14189699292182922,0.49226635694503784
28,1,4,True,ol,223,0.7121705096200476,8.244998937614672e-36,0.7361330417020969,1.6116592086216794,1.042248339711187,1.5399380922317505,0.7046543955802917
29,1,4,True,nl,125,0.9016796786259929,1.3024689412614137e-46,0.37860633448959513,0.2725333359241486,0.5537438497927868,0.41429999470710754,0.7560344934463501
30,1,4,True,ul,86,0.9845176433349345,2.6289954086207003e-65,0.22450439740734524,0.018604651786560237,0.09943050735179869,0.0602773055434227,0.31780436635017395
31,1,4,True,all,434,0.8483905306186149,2.08591137843542e-121,0.5742041568236624,0.9102918676654315,1.0843869754919604,0.9225289225578308,0.9259381890296936
32,1,5,False,ol,1006,0.021322795664235304,0.49933159240440295,1.8383138785899016,1.8145129481037972,0.9377094353061779,0.444288432598114,0.8092876076698303
33,1,5,False,nl,1076,-0.0011941674431963504,0.9687898615181026,1.028556174210222,0.6288104195244694,0.7467236737420238,0.15832388401031494,0.5272889137268066
34,1,5,False,ul,1068,0.16202878585392794,1.0141954265512614e-07,0.27067490968895125,0.04413233561378516,0.2021624358475318,0.02472812309861183,0.21466736495494843
35,1,5,False,all,3150,0.22436499284249428,3.103725653240621e-37,1.210568742195444,0.8092486894083402,1.0087017443491355,0.2043556421995163,0.591449499130249
36,1,5,True,ol,223,0.49345919406251393,4.349189158537685e-15,0.7467437879365963,1.9339312811469818,0.8501470705062374,1.8320553302764893,0.39740845561027527
37,1,5,True,nl,137,0.8570447848652374,1.0552071801984498e-40,0.5313893024595528,0.4072992786438796,0.6681093435486606,0.6416724920272827,0.9026662707328796
38,1,5,True,ul,176,0.8811589389415491,1.707593704064253e-58,0.3236176154352848,0.025757576211948286,0.12610394281261933,0.09771902859210968,0.4209478795528412
39,1,5,True,all,536,0.8457628055124804,8.430485008932888e-148,0.5818591086934704,0.9171641982897226,1.0851189867635058,0.9583135843276978,0.9584303498268127
40,1,6,False,ol,910,0.16896141889071992,2.9467357041002224e-07,1.8973790478734882,1.8374359229763786,0.952344460240004,0.2668672204017639,0.6631973385810852
41,1,6,False,nl,1034,0.25421780657228765,1.0283820919810996e-16,1.0334412825888166,0.743907169386658,0.8091619999089235,0.10835222899913788,0.4329511523246765
42,1,6,False,ul,1148,0.222352624058467,2.513691170831216e-14,0.29031130729388205,0.07078978046125858,0.27727595764158347,0.01256784237921238,0.15002724528312683
43,1,6,False,all,3092,0.29766023277361564,2.6979006490583347e-64,1.2033144859425835,0.8158257991668285,1.0145979010202082,0.11944153904914856,0.45952722430229187
44,1,6,True,ol,138,0.7091589286870673,2.1795532074090996e-22,0.676679822933336,2.057487944761912,0.8538325796951481,1.7597767114639282,0.5226335525512695
45,1,6,True,nl,110,0.8989744460785842,1.6175685616348405e-40,0.42374061741353053,0.8703030380335721,0.8932445215319315,0.9859145879745483,0.9175455570220947
46,1,6,True,ul,134,0.9996819661209777,7.372784356943976e-213,0.09805674801725278,0.04825870670489411,0.2452050011733814,0.0671629086136818,0.3411453664302826
47,1,6,True,all,382,0.9109940245695924,3.0264117364555585e-148,0.46956922855806915,1.010820254605478,1.1138555092816,0.9431926608085632,0.944746732711792
