,participant,filtered,overallWorkloadState,samples,coefficient,significance,RMSE,actualMean,actualStDev,actualMedian,actualMin,actualMax,predMean,predStDev,predMedian,predMin,predMax
65,9,False,nl,1184,-0.053704038673292424,0.06470371119157556,1.6758994934307747,0.46621621621621623,1.283552610765098,0.0,0.0,4.0,0.28328952193260193,0.9952208995819092,0.0,0.0,3.9129509925842285
66,9,False,ul,1892,0.045274369780704246,0.04895157909697089,0.8548165856347654,0.2832980972515856,0.6973796545618478,0.0,0.0,2.0,0.06538426876068115,0.47641435265541077,0.0,0.0,3.888542652130127
67,9,False,all,3673,0.07021799784278202,2.0498468052270775e-05,1.4956469936017107,0.4780833106452491,1.17979238651593,0.0,0.0,4.0,0.2810681164264679,0.9845619797706604,0.0,0.0,3.9129509925842285
68,9,True,ol,364,0.9969796978473474,0.0,0.13596055267881596,0.4835164835164835,1.3039469867420945,0.0,0.0,4.0,0.4495077431201935,1.2159045934677124,0.0,0.0,3.910151958465576
69,9,True,nl,967,0.9984769529581762,0.0,0.022929109687318597,0.020682523267838676,0.28688382021757525,0.0,0.0,4.0,0.019428759813308716,0.26990416646003723,0.0,0.0,3.9128258228302
70,9,True,ul,1608,0.9799400482743655,0.0,0.10567498064482402,0.012437810945273632,0.1572288864981143,0.0,0.0,2.0,0.019746731966733932,0.2547323703765869,0.0,0.0,3.8520803451538086
71,9,True,all,2939,0.9843143659978675,0.0,0.09258653943608287,0.07349438584552569,0.5243720503406114,0.0,0.0,4.0,0.0728687196969986,0.5124734044075012,0.0,0.0,3.9128258228302
72,10,False,ol,1497,-0.003175036876201284,0.9023103646034397,2.467233838583067,0.9752839011356046,1.7175438616606375,0.0,0.0,4.0,1.2470316886901855,1.7448234558105469,0.0,0.0,3.9649996757507324
73,10,False,nl,1317,-0.06381894458633502,0.020548266122322377,1.6949366236442946,0.4677296886864085,1.285358974398572,0.0,0.0,4.0,0.3234754502773285,1.0164151191711426,0.0,0.0,3.958085060119629
74,10,False,ul,2136,0.16567657342826564,1.2994154711877274e-14,0.8548580896952069,0.250936329588015,0.662498013332059,0.0,0.0,2.0,0.14217530190944672,0.650220513343811,0.0,0.0,3.9069409370422363
75,10,False,all,4950,0.09450297367310048,2.6992746307036526e-11,1.708980709760754,0.5276767676767676,1.2711013504027178,0.0,0.0,4.0,0.5245474576950073,1.2687463760375977,0.0,0.0,3.9649996757507324
76,10,True,ol,866,0.9946503381513853,0.0,0.18176023729559745,0.5681293302540416,1.3963331927306104,0.0,0.0,4.0,0.5214844942092896,1.2885842323303223,0.0,0.0,3.952578067779541
77,10,True,nl,1053,0.9843689155775746,0.0,0.08042251761706815,0.026590693257359924,0.3250472397383689,0.0,0.0,4.0,0.021237805485725403,0.26373547315597534,0.0,0.0,3.773911476135254
78,10,True,ul,1855,0.9941380440927834,0.0,0.10168290276239779,0.04743935309973046,0.3043488360039185,0.0,0.0,2.0,0.061630453914403915,0.3977237939834595,0.0,0.0,3.5459890365600586
79,10,True,all,3774,0.9879460830261013,0.0,0.12028058430730895,0.16110227874933758,0.756188006129983,0.0,0.0,4.0,0.1558806151151657,0.7199088335037231,0.0,0.0,3.952578067779541
80,11,False,ol,1537,-0.036865322835690745,0.1485688352920021,2.537018430062765,0.9186727391021471,1.6824777427470319,0.0,0.0,4.0,1.286203384399414,1.801975965499878,0.0,0.0,4.003564834594727
