,participant,filtered,samples,coefficient,RMSE,actualMean,actualStDev,predMean,predStDev
16,9,False,3673,0.070316182768438,1.4729043388763703,0.4780833106452491,1.17979238651593,0.26960140466690063,0.9437457323074341
17,9,True,118,0.969360734284932,0.48355954240057825,1.8305084745762712,1.905856650423132,1.744168758392334,1.762587547302246
18,10,False,5153,0.09447072487203366,1.690457910808385,0.5068891907626625,1.2500343821180988,0.5227416753768921,1.2621005773544312
19,10,True,348,0.9768474593811949,0.40404988597919234,1.7471264367816093,1.8521090234077615,1.704089641571045,1.7428785562515259
20,11,False,5073,0.06478418872371486,1.779995056277264,0.5062093435836783,1.2604817308887972,0.5799275040626526,1.3389588594436646
21,11,True,292,0.9905777442445469,0.2843650190848885,1.8904109589041096,1.9413428754034932,1.8191941976547241,1.8516031503677368
22,12,False,5037,0.08597032791614151,1.74486552378966,0.5082390311693469,1.2623743727671881,0.5950614809989929,1.314846158027649
23,12,True,364,0.9736947815265472,0.44729070754042477,1.7802197802197801,1.8740694265242466,1.6851582527160645,1.7315645217895508
24,13,False,4747,0.06069538597869343,1.817150945049184,0.5317042342532126,1.285296154392637,0.6049672961235046,1.3628343343734741
25,13,True,320,0.9583994320158437,0.5356135030195875,1.78125,1.8747395652463303,1.7591155767440796,1.7895644903182983
26,14,False,4904,0.10987188065156742,1.7893118627248656,0.5065252854812398,1.258396853491685,0.6240547299385071,1.4123808145523071
27,14,True,360,0.9733764486664515,0.4442714066010845,1.8222222222222222,1.9007470915860532,1.8928712606430054,1.9008710384368896
28,15,False,5064,0.09630769673825687,1.7326511336370232,0.5055292259083728,1.2595484582405374,0.53175950050354,1.316981554031372
29,15,True,286,0.9987777991027948,0.1613400368821131,1.993006993006993,1.9964881877604939,1.9013879299163818,1.9051704406738281
30,16,False,5078,0.05462419378177038,1.492724159461182,0.5041354864119733,1.2580902550905442,0.21851710975170135,0.8227640986442566
31,16,True,170,0.9252012064605775,0.684123703604176,1.6235294117647059,1.7621942911390855,1.4940687417984009,1.5664360523223877
32,17,False,5059,0.06683155084725169,1.5294908128252627,0.5139355603874284,1.269385560078939,0.23969462513923645,0.8972334861755371
33,17,True,148,0.9841035718161404,0.36626259519389115,1.8783783783783783,1.9344159164747596,1.7872949838638306,1.8151788711547852
34,18,False,4777,0.05460653164590883,1.5963476345494048,0.52501570023027,1.278087053118474,0.338468998670578,1.010478138923645
35,18,True,204,0.9691220532168896,0.5340461471127915,1.7843137254901962,1.8767277058669098,1.5992090702056885,1.626974105834961
36,19,False,5003,0.07802898237919657,1.7629689907000194,0.5196881870877473,1.2752985183586683,0.5612940192222595,1.3201020956039429
37,19,True,318,0.9593765533274039,0.5469884521249334,1.8553459119496856,1.9208766276650104,1.7880934476852417,1.8115320205688477
38,20,False,4966,0.09266571477735278,1.6734290536185912,0.5155054369714056,1.26989254679972,0.4480634331703186,1.2117671966552734
39,20,True,272,0.9658521239739402,0.49565496106270485,1.8161764705882353,1.8969875727613696,1.8637940883636475,1.8750594854354858
40,21,False,5004,0.1218063937132272,1.7837569587432944,0.5507593924860112,1.3105141986601285,0.5969065427780151,1.3793392181396484
41,21,True,400,0.9739964375143603,0.43328006156841037,1.84,1.911648503255763,1.836298942565918,1.8735202550888062
42,22,False,5009,0.027005416806188676,1.8395548221285596,0.5438211219804352,1.3028702181320775,0.5648895502090454,1.3341399431228638
43,22,True,258,0.9687419025818416,0.476234034637871,1.8527131782945736,1.9193053297328857,1.8427391052246094,1.8616918325424194
44,23,False,4827,0.03122091952343524,1.857842082367823,0.5643256681168427,1.3228386087047304,0.5884536504745483,1.346213459968567
45,23,True,284,0.9643577553674592,0.5113589813914644,1.8380281690140845,1.910450591874922,1.766084909439087,1.8145523071289062
46,24,False,4989,0.0992242923513694,1.7882747263441712,0.5460012026458209,1.305023115707198,0.5574307441711426,1.3589118719100952
47,24,True,324,0.9865230499410129,0.32057570180873624,1.9197530864197532,1.9578219034683286,1.907677173614502,1.9331834316253662
48,25,False,5048,0.046168972968346364,2.215926055211839,0.5182250396196514,1.2742359893862618,1.1741232872009277,1.7499568462371826
49,25,True,508,0.9665416584804188,0.49680896461961854,1.8622047244094488,1.9249472488470487,1.890063762664795,1.9078339338302612
50,26,False,4277,0.08222253944200833,1.7772451890342147,0.5237315875613748,1.2803108953473123,0.5452374219894409,1.3422117233276367
51,26,True,272,0.9858341151024247,0.3197903158021654,1.7794117647058822,1.873543263408025,1.8358614444732666,1.8652923107147217
52,27,False,4715,0.03325833570467375,1.9355819445664828,0.5497348886532344,1.3051076079044752,0.7054986953735352,1.4649518728256226
53,27,True,324,0.9660524497443443,0.49041079842097596,1.7592592592592593,1.860258695522243,1.8330568075180054,1.8610570430755615
54,28,False,4552,0.05030918751739888,1.8272081761044925,0.5140597539543058,1.2733841009238744,0.5810331106185913,1.3743305206298828
55,28,True,260,0.967642796441887,0.4943414320895326,1.7692307692307692,1.8668709383863995,1.8842147588729858,1.9026826620101929
56,29,False,5118,0.07775607490586445,1.8185866822333963,0.5455255959359124,1.3062578614706795,0.5678343772888184,1.3707293272018433
57,29,True,312,0.9843238829244623,0.34448488977962066,1.9038461538461537,1.9489604268845815,1.922397494316101,1.9314208030700684
58,30,False,2880,0.11260097891840158,1.8356006430314513,0.4097222222222222,1.2128547272885457,0.6700172424316406,1.4964622259140015
59,30,True,174,0.9977304400918723,0.13623868525696772,2.0,2.0,1.9816168546676636,1.9861246347427368
