,windowSize,participant,filtered,overallWorkloadState,samples,coefficient,significance,RMSE,actualMean,actualStDev,predMean,predStDev
5,10.0,all,False,nl,37407.0,0.2866799431421819,0.017187903889873637,1.040965069969235,0.8261946302852199,0.8208166673937732,0.4034003409846076,0.7380434459653394
6,10.0,all,False,ul,22928.0,0.3040732799538953,0.010945517658303231,0.4450383172153878,0.13927305694314432,0.3497972406751491,0.09382590608528027,0.3125235272141603
7,10.0,all,False,all,90125.0,0.4095021209452012,5.587506855510833e-07,1.1160533205823673,0.9346128458794553,1.0231578447939156,0.436183586033682,0.7568134561181068
0,15.0,all,True,ol,12102.0,0.6104052869974118,0.048506715448454835,0.7396556833089191,2.0023462530038896,0.7940441956494081,1.7964140094559768,0.4871448166668415
1,15.0,all,True,nl,13665.0,0.8540990971159984,3.9296697171686006e-37,0.5617923959805206,0.7802593281084675,0.8682060500991603,0.9427534203444209,0.9210807744945798
2,15.0,all,True,ul,9703.0,0.9499856157322994,6.60968796076871e-21,0.18471970167901966,0.09667311963862316,0.2606398692729084,0.14389497015625238,0.41305302798748017
3,15.0,all,True,all,36478.0,0.8718147847475687,1.3755348674443537e-44,0.5612695181135727,0.9534459101819868,1.0901224004934347,0.9760924084433193,0.9789711442486994
4,15.0,all,False,ol,26082.0,0.36013811766460746,0.0027068495299004507,1.4225703286804008,1.8739033382697399,0.8728001717479897,0.9455804167122677,0.8758577416683065
5,15.0,all,False,nl,37407.0,0.33138877252024485,0.011601300061193223,1.0066918111387337,0.8261946302852199,0.8208166673937732,0.4576783897034053,0.7510624188801338
6,15.0,all,False,ul,21911.0,0.33221398683306086,0.02723922203777447,0.44646554445242137,0.14306154356390585,0.3563647562360624,0.11000756195746363,0.3192663481831551
7,15.0,all,False,all,86975.0,0.47316712300208696,1.390970312753362e-09,1.0530038308542178,0.9363369518456393,1.0242876119835385,0.5123316360444858,0.7974637551554318
0,30.0,all,True,ol,11700.0,0.6156343382472623,0.021009954537233387,0.7255612524033338,2.04886635256987,0.7742760644451522,1.8721321697892814,0.5824993905322305
1,30.0,all,True,nl,13477.0,0.8698354835012457,1.0890294007147341e-19,0.5591762865474899,0.8259789652714528,0.8978049695138033,0.952160218996661,0.9363533215863364
2,30.0,all,True,ul,8268.0,0.9666173058433046,3.676942385878915e-21,0.15964964666326775,0.08597555185390302,0.2652122292911602,0.10792533918801281,0.3805336190594567
3,30.0,all,True,all,35470.0,0.8974782514515844,1.9019534046813913e-30,0.5555241104081978,0.9941068402975403,1.110805775400133,1.0059121785492733,1.025971560642637
4,30.0,all,False,ol,26082.0,0.4708800637669055,0.00043710230862047177,1.3366171016349468,1.8739033382697399,0.8728001717479897,0.9848147080890064,0.8572672410257931
5,30.0,all,False,nl,37407.0,0.40974854371357244,0.013144788090568316,0.9484042973491881,0.8261946302852199,0.8208166673937732,0.467598515723286,0.7047735416683657
6,30.0,all,False,ul,16333.0,0.45308865725702063,0.017952517293569073,0.41286159275511586,0.1432027449942879,0.3431772481685235,0.18191544903028342,0.3422787810365359
7,30.0,all,False,all,86975.0,0.5367366903898538,3.4120346888656615e-06,0.9935378327350437,0.9363369518456393,1.0242876119835385,0.5275834155236853,0.7810457955146658
0,60.0,all,True,ol,10832.0,0.657528313336421,0.027220886378446024,0.6653319447770687,2.0996505406932138,0.7467624734348253,1.933394584162482,0.5670614688303964
1,60.0,all,True,nl,11285.0,0.8763609129536981,1.3629311570975904e-08,0.5406784622603865,0.78710133360257,0.9121424299165083,0.9090942552796116,0.9464907889012937
2,60.0,all,True,ul,7629.0,0.953883569315985,1.4643430511342512e-18,0.1514474470554585,0.08632829254686014,0.2649055446140658,0.1108359233993623,0.36883005251487094
3,60.0,all,True,all,31484.0,0.9112415357198353,1.2472261556628948e-13,0.5313970248052657,1.0312876765824028,1.1392244160768568,1.0328084374296254,1.052688615075473
4,60.0,all,False,ol,26082.0,0.4633413572444071,0.04862136690549686,1.3250846931283458,1.8739033382697399,0.8728001717479897,0.9701191182408867,0.8550552628163633
5,60.0,all,False,nl,36011.0,0.38823403211222424,0.050893220025844545,1.013121935872372,0.8764107733696991,0.854111450549351,0.44657215783889925,0.651207957830694
6,60.0,all,False,ul,14605.0,0.4554953309201213,7.327076695047406e-05,0.41780094023795816,0.143622516767317,0.34262680895279307,0.2041243359239565,0.3405696418550279
7,60.0,all,False,all,86975.0,0.5280164912230113,0.021744676626555614,1.0042856221009129,0.9363369518456393,1.0242876119835385,0.504107523902223,0.7461819181154514
