,participant,filtered,samples,coefficient,RMSE,actualMean,actualStDev,predMean,predStDev
27,14,True,362,0.9755007105556648,0.4188891628730002,1.8232044198895028,1.9013553488583868,1.81725013256073,1.8332043886184692
28,15,False,5314,0.09337707462524517,1.7062677369813581,0.5020700037636432,1.2485955399360715,0.5076943635940552,1.2853162288665771
29,15,True,286,0.9976278674228574,0.2024461412995553,1.993006993006993,1.9964881877604939,1.8848836421966553,1.8897438049316406
30,16,False,5438,0.05588379254840421,1.4693674886114183,0.4906215520411916,1.2365511674980414,0.21115176379680634,0.815195620059967
31,16,True,170,0.9371959122675255,0.6243395196384689,1.6235294117647059,1.7621942911390855,1.5316002368927002,1.5920007228851318
32,17,False,5264,0.06691038220220716,1.500616741506999,0.5056990881458967,1.2530986689777055,0.22665855288505554,0.8653571605682373
33,17,True,148,0.988373408086635,0.35365597304653135,1.8783783783783783,1.9344159164747596,1.7421473264694214,1.770479440689087
34,18,False,5242,0.047963430070814696,1.547650007194835,0.5089660434948493,1.2557444195781813,0.3103742301464081,0.9448288679122925
35,18,True,204,0.9657844211814677,0.6129429566247487,1.7843137254901962,1.8767277058669098,1.5194703340530396,1.55048668384552
36,19,False,5221,0.07854267778570832,1.7091603054748337,0.5110132158590308,1.2578515519471662,0.5248541235923767,1.2600905895233154
37,19,True,318,0.9583571542633165,0.5684285206843027,1.8553459119496856,1.9208766276650104,1.733214020729065,1.755513310432434
38,20,False,5195,0.09474801271280066,1.659426268481197,0.5020211742059673,1.2559562636579062,0.4355543553829193,1.2080414295196533
39,20,True,272,0.9650641727164964,0.5080929936129877,1.8161764705882353,1.8969875727613696,1.8915092945098877,1.9044581651687622
40,21,False,5305,0.12743182675320844,1.7137721089892852,0.5489161168708765,1.3008774148902493,0.5582394003868103,1.2936590909957886
41,21,True,440,0.9682191274596693,0.4859350341159462,1.8,1.8867962264113212,1.7152048349380493,1.7477216720581055
42,22,False,5374,0.020471911549915726,1.867039767323558,0.5418682545589877,1.2939755948645215,0.5813401341438293,1.3720786571502686
43,22,True,276,0.9567638929454712,0.5635428224635207,1.8043478260869565,1.8895544128225081,1.8855078220367432,1.9023361206054688
44,23,False,5393,0.03515974503360124,1.8308277997454658,0.5399592063786389,1.2920931427735143,0.5905517935752869,1.3423219919204712
45,23,True,318,0.9537401331487869,0.5690882739544634,1.8050314465408805,1.8899868137751177,1.77341890335083,1.7979642152786255
46,24,False,5307,0.10659061003373299,1.7274358783629935,0.5419257584322593,1.2930669526756562,0.5234470963478088,1.291374683380127
47,24,True,358,0.9770514389042111,0.41377914213130246,1.8603351955307263,1.9238409844511608,1.8151464462280273,1.8443710803985596
48,25,False,5497,0.03814164803110592,2.252554008195206,0.5297434964526105,1.2819244715648415,1.1860164403915405,1.7816282510757446
49,25,True,558,0.9555505936882831,0.5837603444554351,1.8243727598566308,1.902077966917467,1.9281110763549805,1.9421731233596802
50,26,False,5329,0.07299741995976657,1.7756971962746528,0.5464439857384125,1.2984650430815077,0.5586950778961182,1.3096603155136108
51,26,True,356,0.9806448762999117,0.37648122291131964,1.7921348314606742,1.8817709038640877,1.7585406303405762,1.7756301164627075
52,27,False,5253,0.034395549194098644,1.8583285627903872,0.542166381115553,1.2960651653108826,0.6764669418334961,1.3703054189682007
53,27,True,380,0.9484939602548417,0.5839357095978057,1.7263157894736842,1.8378597693665193,1.6868144273757935,1.7223564386367798
54,28,False,5271,0.05417053226129037,1.8258521640519607,0.5479036236008348,1.299245606238946,0.5765073299407959,1.3548387289047241
55,28,True,336,0.9598335196812389,0.5425458747236527,1.7142857142857142,1.8294640678379568,1.8497016429901123,1.8680024147033691
56,29,False,5279,0.08365023308886281,1.7902521531530395,0.5516196249289638,1.3035050924663796,0.5539841651916504,1.341012954711914
57,29,True,334,0.9744533855353417,0.43546987088850153,1.8682634730538923,1.9285156036641138,1.902955412864685,1.908113718032837
58,30,False,2975,0.12147558582118584,1.6969076305211253,0.39663865546218485,1.1955050810606747,0.5897039175033569,1.3427551984786987
59,30,True,174,0.9970222542627214,0.275103121151768,2.0,2.0,1.8333033323287964,1.8387786149978638
