,windowSize,participant,filtered,samples,coefficient,RMSE,actualMean,actualStDev,predMean,predStDev
117,5,29,True,1482,0.846875703340483,0.5770868350809835,0.9174988901044032,1.0848932027459222,0.9260167479515076,0.9288269877433777
118,5,30,False,3150,0.4066655677838015,1.1370939074117759,0.8860740901742663,0.9907238689818527,0.2414933294057846,0.6443211436271667
119,5,30,True,766,0.8980302348570435,0.4869451534640985,0.9932115060853585,1.1060822005089144,0.9803439974784851,0.9803476929664612
120,10,1,False,3150,0.2630207334413411,1.1848820454674949,0.8089312290530356,1.0083709458366488,0.38085946440696716,0.7888931632041931
121,10,1,True,908,0.823710814501672,0.6354727587662821,0.8886931140287595,1.0800030976759958,1.0087976455688477,1.0096110105514526
122,10,2,False,3150,0.47873363346418757,1.0207566800056784,0.8080000119881025,1.0074856713152502,0.3880324065685272,0.7707163095474243
123,10,2,True,1200,0.8354987665824845,0.6173229905991158,0.9374444567536314,1.1220177626211765,0.9594208598136902,0.9594208002090454
124,10,3,False,3150,0.12234044054713136,1.2605280120262747,0.808973557159068,1.0082390346547558,0.19353926181793213,0.5803389549255371
125,10,3,True,554,0.7915777312364394,0.6607924988212007,0.6756919484841049,0.8473968479535398,0.9606409072875977,0.9662729501724243
126,10,4,False,3150,0.4767182016341669,1.0466905821617736,0.8093121814680478,1.0084920232507422,0.28564342856407166,0.6689485907554626
127,10,4,True,956,0.8726997346695324,0.5584528198365474,0.9827754653242093,1.1305511578443785,0.9227774739265442,0.9269159436225891
128,10,5,False,3150,0.40074992421783856,1.0818758937786848,0.8092486894083402,1.0087017443491355,0.42208132147789,0.8122633099555969
129,10,5,True,1166,0.8321506588951324,0.6188994989664904,0.9109777184666532,1.0970895428029908,0.9920546412467957,0.9924673438072205
130,10,6,False,3150,0.5364968336354167,1.0164106361130631,0.8095449855237726,1.0097027990790084,0.26690250635147095,0.6538246870040894
131,10,6,True,902,0.9176696857531633,0.4995042192308211,1.0664449499345936,1.1633666647394232,0.9320874214172363,0.9342780113220215
132,10,7,False,3150,0.583802750487208,0.9029840734139557,0.8081481600233487,1.006089366026286,0.4727807939052582,0.7762553095817566
133,10,7,True,1584,0.8622721973979635,0.5710170697685663,0.9523569145004707,1.1059209922108661,0.8730273246765137,0.875704824924469
134,10,8,False,3150,0.3339067350619215,0.9467288791888754,0.36167196443629646,0.7950693138217502,0.5154696702957153,0.8231399655342102
135,10,8,True,704,0.8803636427210525,0.5434208285758816,0.9890151676213876,1.124399085394171,0.9152517914772034,0.9160259366035461
136,10,9,False,3150,0.369090816551942,0.9681393582814855,0.3810582079206194,0.811070423279112,0.5561089515686035,0.8811072111129761
