,participant,filtered,samples,coefficient,significance,RMSE,actualMean,actualStDev,predMean,predStDev
38,20,False,4966,0.08999027223143438,2.1129684304814117e-10,1.6548007032062377,0.5155054369714056,1.26989254679972,0.4341312348842621,1.1783156394958496
39,20,True,264,0.9679974825462939,2.527711950733796e-159,0.48068756747743635,1.8409090909090908,1.9121998495091486,1.8210632801055908,1.8315985202789307
40,21,False,5004,0.1213752525060439,6.952579418099984e-18,1.7651094899641304,0.5507593924860112,1.3105141986601285,0.585733950138092,1.3516420125961304
41,21,True,400,0.975566052338847,4.6319899018855335e-264,0.42333241213271783,1.84,1.911648503255763,1.7994717359542847,1.830782413482666
42,22,False,5009,0.02662197488131737,0.05956294780907224,1.8462417465129852,0.5438211219804352,1.3028702181320775,0.5697861313819885,1.342991828918457
43,22,True,258,0.9647239895697859,2.151973615467628e-150,0.5059012772406617,1.8527131782945736,1.9193053297328857,1.861204743385315,1.8751205205917358
44,23,False,4827,0.031938560013837596,0.026488466858589726,1.8537673631671399,0.5643256681168427,1.3228386087047304,0.5896449685096741,1.3413629531860352
45,23,True,284,0.9701516014060896,1.505953313297874e-175,0.4693200370989032,1.8380281690140845,1.910450591874922,1.779717206954956,1.806201457977295
46,24,False,4989,0.09976624374947214,1.633751377644573e-12,1.7321307611299892,0.5460012026458209,1.305023115707198,0.5209329724311829,1.276283860206604
47,24,True,324,0.9827873422755348,3.0771127422073145e-238,0.39856131445600446,1.9197530864197532,1.9578219034683286,1.7841953039169312,1.8258559703826904
48,25,False,5048,0.04550004752501991,0.0012223214161771678,2.307271670459262,0.5182250396196514,1.2742359893862618,1.2360931634902954,1.8434334993362427
49,25,True,508,0.9626230070627304,3.3324304626298966e-289,0.5589258137719283,1.8622047244094488,1.9249472488470487,1.9886125326156616,2.0098445415496826
50,26,False,4277,0.08326201511145048,4.9495685398146776e-08,1.7903700682924515,0.5237315875613748,1.2803108953473123,0.5532822012901306,1.3622761964797974
51,26,True,272,0.986856114640851,9.369872569585228e-216,0.32001052372110345,1.7794117647058822,1.873543263408025,1.8694127798080444,1.900284767150879
52,27,False,4715,0.03300151700069379,0.02344563841326094,1.9041388773990742,0.5497348886532344,1.3051076079044752,0.6857255101203918,1.423577904701233
53,27,True,324,0.963716306481966,9.180176125294597e-187,0.4973943748607507,1.7592592592592593,1.860258695522243,1.7847647666931152,1.806270956993103
54,28,False,4552,0.05012930664731707,0.0007160784441326614,1.7986372733422782,0.5140597539543058,1.2733841009238744,0.5650385618209839,1.3346859216690063
55,28,True,262,0.9754934794391446,5.6126799979123e-173,0.4129346406780921,1.7633587786259541,1.8629864437506003,1.8099288940429688,1.8352247476577759
56,29,False,5118,0.07746378513042423,2.8770330793297122e-08,1.7639377778477392,0.5455255959359124,1.3062578614706795,0.5335296392440796,1.2908354997634888
57,29,True,308,0.9830646473849871,1.4593323421484782e-227,0.3819030459015359,1.9155844155844155,1.9555160035848864,1.822303056716919,1.8290055990219116
58,30,False,5076,0.04163683227640458,0.0030070536787381768,1.713171977260931,0.5405831363278172,1.3001666767366362,0.37431633472442627,1.1585851907730103
59,30,True,174,0.9970907139607303,3.196228736269309e-194,0.17541786932640244,2.0,2.0,1.933174729347229,1.9388153553009033
