,participant,filtered,overallWorkloadState,samples,coefficient,significance,RMSE,actualMean,actualStDev,predMean,predStDev
169,22,False,nl,1317,-0.0895265328721068,0.0011443088218766437,1.813778708807238,0.4677296886864085,1.2853589743985723,0.41232287883758545,1.1685998439788818
170,22,False,ul,1826,0.05072464211448635,0.03019962026305319,0.9974312647879743,0.2497261774370208,0.6611272125519682,0.1862158179283142,0.7784320712089539
171,22,False,all,4861,0.026115230644551908,0.06866481182583,1.862410456280518,0.5603785229376671,1.3190429431410466,0.5747213959693909,1.3496198654174805
172,22,True,ol,145,0.9881971589628314,2.0676962462984193e-118,0.3278518383577888,2.896551724137931,1.7877905374918237,2.7276930809020996,1.7036770582199097
173,22,True,nl,36,0.9992250312584091,2.3216963859667445e-49,0.0781494613237427,0.5555555555555556,1.3833221775543039,0.5339385271072388,1.3305271863937378
174,22,True,ul,77,0.9935792403190871,9.69244023442002e-73,0.7592259337175763,0.4935064935064935,0.8622437752050823,0.8609236478805542,1.5139079093933105
175,22,True,all,258,0.9678964779971242,1.5222448446694257e-155,0.48300618564442055,1.8527131782945736,1.9193053297328857,1.8644514083862305,1.878477692604065
176,23,False,ol,1695,-0.08127817171225289,0.0008100814082292059,2.599642006779852,0.9746312684365782,1.717154321641482,1.2175499200820923,1.8020789623260498
177,23,False,nl,1283,-0.02129598806364537,0.44597425261358475,1.8333598601875145,0.48012470771628996,1.2999919599387941,0.46871858835220337,1.2653218507766724
178,23,False,ul,1821,0.06714963543580776,0.004147017321050508,1.0174150167907832,0.2504118616144975,0.6619045420540313,0.19467805325984955,0.8163825273513794
179,23,False,all,4799,0.02975902523041447,0.03925817830273644,1.9179052886795072,0.5676182538028756,1.3259875344737209,0.6292189359664917,1.4243354797363281
180,23,True,ol,136,0.9843101717764196,7.773238106051003e-103,0.3241449588776385,3.0294117647058822,1.7147336290762833,2.9137518405914307,1.6755561828613281
181,23,True,nl,60,0.9935748077050428,1.3775300945856517e-56,0.21570236172057428,1.0666666666666667,1.7688665548562135,1.0157800912857056,1.6953740119934082
182,23,True,ul,88,0.9843832725927182,1.154454212246939e-66,0.7468985973497873,0.5227272727272727,0.878755224053691,0.8798240423202515,1.5025339126586914
183,23,True,all,284,0.9682720378871932,7.239036182421376e-172,0.48270301727774806,1.8380281690140845,1.910450591874922,1.8825405836105347,1.9054430723190308
184,24,False,ol,1739,0.02910641069283872,0.22506866247005944,2.456803595166771,0.9499712478435882,1.7021867170333722,1.2045146226882935,1.803427815437317
185,24,False,nl,1317,-0.01260180729096338,0.6477359431454077,1.6969670088414193,0.4677296886864085,1.2853589743985723,0.33131667971611023,1.0834399461746216
186,24,False,ul,1826,0.025691893477498565,0.2725154437323826,0.9577356891616103,0.2497261774370208,0.6611272125519682,0.13921287655830383,0.7012690305709839
187,24,False,all,4882,0.09708942129360681,1.0601316667956286e-11,1.8082991553671108,0.5579680458828349,1.3167137723665885,0.5705034136772156,1.3737908601760864
188,24,True,ol,180,0.9969335684871297,6.609398729978146e-199,0.15069586932397738,3.0444444444444443,1.7056188913321568,2.979496955871582,1.6743673086166382
189,24,True,nl,59,0.9943217326380089,3.6627048109137187e-57,0.19262663239564978,0.8135593220338984,1.6100802829881922,0.7668581008911133,1.5263229608535767
190,24,True,ul,85,0.9902312275989364,8.47444869836301e-73,0.5267365157257817,0.3058823529411765,0.7198615783895698,0.5013613700866699,1.1915407180786133
191,24,True,all,324,0.9879113432437602,9.072111054022648e-263,0.30358061553425303,1.9197530864197532,1.9578219034683286,1.9264501333236694,1.93595290184021
192,25,False,ol,1647,0.007338748979180367,0.7660022484627819,2.5613888009078325,0.9374620522161505,1.694406418047124,1.5395878553390503,1.8365232944488525
193,25,False,nl,1317,-0.0203896088548184,0.45971074469014667,2.5114065902293308,0.4677296886864085,1.2853589743985723,1.5354822874069214,1.8487870693206787
194,25,False,ul,1826,0.017703841228539463,0.4496151309179004,1.4322631689746896,0.2497261774370208,0.6611272125519682,0.498518705368042,1.257709264755249
