time,syllablesPerSecond,meanVoiceActivity,stDevVoiceActivity,meanPitch,stDevPitch,meanIntensity,stDevIntensity
672.0,0.7333333333333333,0.102,0.3026483107502832,243.23333333333332,213.41503904104061,90.02411148904007,346.2157842860685
673.0,0.7,0.10166666666666667,0.30220945642973446,243.23333333333332,213.41503904104061,89.96771919879063,346.22746583911265
674.0,0.8,0.101,0.3013287241535397,243.23333333333332,213.41503904104061,90.09857331821618,346.212950322403
675.0,0.8,0.09666666666666666,0.29550333707459586,243.23333333333332,213.41503904104061,87.102,341.27399776078033
676.0,0.7666666666666667,0.092,0.289025950392002,243.23333333333332,213.41503904104061,85.16006764928194,339.90527575134934
677.0,0.7,0.09133333333333334,0.2880825498976909,243.23333333333332,213.41503904104061,85.00271882086167,339.9326766026439
678.0,0.7333333333333333,0.091,0.2876091097305508,243.23333333333332,213.41503904104061,84.97562811791383,339.93768730282466
679.0,0.6333333333333333,0.08266666666666667,0.2753777203930792,229.1,206.97122988473544,80.40014739229025,333.54661286013624
680.0,0.7,0.08133333333333333,0.2733463411538962,229.1,206.97122988473544,80.43606084656085,333.5021773934673
681.0,0.7,0.081,0.2728351150420341,229.1,206.97122988473544,80.88795804988662,333.4523719217099
682.0,0.6333333333333333,0.081,0.27283511504203417,229.1,206.97122988473544,80.8478238851096,333.44620318145195
683.0,0.6333333333333333,0.071,0.2568248430350927,213.53333333333333,196.77851057018964,75.86155253212397,326.1409180991047
684.0,0.6333333333333333,0.07066666666666667,0.2562672216435198,213.53333333333333,196.77851057018964,76.01857596371882,326.12776854375124
685.0,0.6333333333333333,0.07066666666666667,0.2562672216435198,213.53333333333333,196.7785105701897,76.14752494331066,326.1081919521084
686.0,0.5666666666666667,0.061,0.23933031567271207,197.96666666666667,184.72095772332443,71.2623015873016,319.82378937180687
687.0,0.6,0.06,0.23748684174075835,197.96666666666667,184.72095772332443,71.277552154195,319.77088448037694
688.0,0.5666666666666667,0.06233333333333333,0.24175998198396875,197.96666666666667,184.72095772332443,76.53272222222222,339.5756250952768
689.0,0.7666666666666667,0.08666666666666667,0.28134597128012256,209.66666666666666,190.4395500473109,120.97788019652306,500.0813507266738
690.0,0.9333333333333333,0.11433333333333333,0.3182156850663119,192.26666666666668,166.3444084489233,141.31662962962963,538.5144506795773
691.0,1.0,0.13866666666666666,0.34559835390554483,201.8,170.08299934639754,173.29704950869237,599.8732597155151
692.0,1.1666666666666667,0.15866666666666668,0.3653649621345149,215.43333333333334,179.13117788059367,195.70070559334846,628.6982643107787
693.0,1.1666666666666667,0.16666666666666666,0.37267799624996495,235.23333333333332,199.1933203922483,200.73905782312926,630.5630436906982
694.0,1.2333333333333334,0.16466666666666666,0.3708794353365465,235.23333333333332,199.1933203922483,201.11446712018142,630.4769218963647
695.0,1.2,0.16133333333333333,0.3678381286502106,235.23333333333332,199.1933203922483,201.07186734693877,630.48865959836
696.0,1.1666666666666667,0.16033333333333333,0.36691491596220993,228.3,199.4634720109591,198.62746145124717,630.6200858496721
