participant, condition, time, judgement
p27, nl, 875.95, 
p27, nl, 876.0, 
p27, nl, 876.04, 
p27, nl, 879.49, 
p27, nl, 879.53, 
p27, nl, 886.29, 
p27, ol, 48.61, 
p27, ol, 49.75, 
p27, ol, 64.92, 
p27, ol, 65.91, 
p27, ol, 69.11, 
p27, ol, 76.8, 
p27, ol, 221.62, 
p27, ol, 221.71, 
p27, ol, 242.86, 
p27, ol, 255.2, 
p27, ol, 287.47, 
p27, ol, 297.81, 
p27, ol, 354.38, 
p27, ol, 375.87, 
p27, ol, 391.64, 
p27, ol, 561.46, 
p27, ol, 561.73, 
p27, ol, 577.48, 
p27, ol, 596.19, 
p27, ol, 596.31, 
p27, ol, 748.86, 
p27, ol, 825.68, 
p27, ul, 295.94, 
p27, ul, 585.46, 
p27, ul, 872.97, 
p27, ul, 877.59, 
p28, ol, 105.61, 
p28, ol, 293.67, 
p28, ol, 496.81, 
p28, ol, 641.04, 
p28, ol, 875.11, 
p29, nl, 103.02, 
p29, nl, 104.26, 
p29, nl, 287.38, 
p29, nl, 579.66, 
p29, nl, 632.19, 
p29, ol, 107.09, 
p29, ol, 161.02, 
p29, ol, 175.82, 
p29, ol, 175.92, 
p29, ol, 176.87, 
p29, ol, 190.63, 
p29, ol, 240.01, 
p29, ol, 241.68, 
p29, ol, 287.41, 
p29, ol, 317.92, 
p29, ol, 414.47, 
p29, ol, 415.1, 
p29, ol, 438.43, 
p29, ol, 452.07, 
p29, ol, 568.47, 
p29, ol, 579.18, 
p29, ol, 587.33, 
p29, ol, 590.36, 
p29, ol, 592.92, 
p29, ol, 646.7, 
p29, ol, 676.65, 
p29, ol, 678.46, 
p29, ol, 778.53, 
p29, ol, 872.71, 
p29, ul, 284.45, 
p29, ul, 293.34, 
p29, ul, 587.12, 
p29, ul, 874.17, 
p29, ul, 880.85, 
p2, nl, 53.13, 
p2, nl, 581.13, 
p2, nl, 804.73, 
p2, ol, 301.74, 
p2, ol, 534.54, 
p2, ol, 535.02, 
p2, ol, 952.77, 
p2, ol, 952.87, 
p2, ol, 970.61, 
p2, ol, 1018.07, 
p30, nl, 23.11, 
p30, nl, 282.09, 
p30, nl, 576.97, 
p30, nl, 632.07, 
p30, ol, 41.05, 
p30, ol, 50.3, 
p30, ol, 107.0, 
p30, ol, 116.73, 
p30, ol, 158.33, 
p30, ol, 289.07, 
p30, ol, 306.22, 
p30, ol, 369.74, 
p30, ol, 444.74, 
p30, ol, 459.54, 
p30, ol, 503.23, 
p30, ol, 569.06, 
p30, ol, 577.75, 
p30, ol, 641.36, 
p30, ol, 688.98, 
p30, ol, 690.98, 
p30, ol, 726.97, 
p30, ol, 862.63, 
p30, ol, 863.14, 
p30, ul, 608.51, 
p30, ul, 696.66, 
p30, ul, 797.16, 
p3, nl, 91.09, 
p3, nl, 117.24, 
